book,chapter,total_verses,total_lines,total_words,avg_words_per_line,avg_chars_per_line,max_line_chars,min_line_chars,lines_per_verse,short_line_ratio,max_consec_short_lines,aictp_count,aictp_rate,future_aictp,isay_count,isay_per_1k,caused_that_count,caused_that_per_1k,began_to_count,began_to_per_1k,question_count,question_per_verse,wo_count,behold_count,behold_per_1k,verily_count,thus_we_see,brethren_count
ether,6,30,113,1048,9.27,47.0,85,11,3.77,0.115,2,17,0.567,0,0,0.0,1,0.95,6,5.73,0,0.0,0,2,1.91,0,0,0
ether,7,27,103,912,8.85,45.7,73,18,3.81,0.136,4,14,0.519,0,0,0.0,1,1.1,2,2.19,0,0.0,0,0,0.0,0,0,0
ether,8,26,143,1231,8.61,43.9,84,11,5.5,0.168,4,12,0.462,0,0,0.0,0,0.0,0,0.0,4,0.154,0,3,2.44,0,0,0
ether,9,35,151,1420,9.4,48.1,110,12,4.31,0.126,3,21,0.6,0,0,0.0,0,0.0,10,7.04,0,0.0,0,2,1.41,0,0,0
ether,10,34,163,1413,8.67,43.9,87,10,4.79,0.16,4,15,0.441,0,0,0.0,1,0.71,3,2.12,0,0.0,0,1,0.71,0,0,0
ether,11,23,84,762,9.07,47.6,79,19,3.65,0.143,4,14,0.609,0,0,0.0,1,1.31,3,3.94,0,0.0,0,0,0.0,0,0,0
ether,12,41,178,1535,8.62,44.9,87,5,4.34,0.107,4,4,0.098,0,0,0.0,0,0.0,1,0.65,0,0.0,0,8,5.21,0,0,1
ether,13,31,132,1220,9.24,47.6,91,18,4.26,0.091,3,9,0.29,0,0,0.0,0,0.0,2,1.64,0,0.0,0,3,2.46,0,0,0
ether,14,31,121,1132,9.36,47.9,99,21,3.9,0.074,2,16,0.516,0,0,0.0,0,0.0,4,3.53,1,0.032,0,3,2.65,0,1,0
ether,15,34,146,1314,9.0,45.8,88,5,4.29,0.137,6,23,0.676,0,0,0.0,0,0.0,4,3.04,0,0.0,0,4,3.04,0,0,0
moroni,1,4,17,147,8.65,45.1,73,27,4.25,0.059,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,6.8,0,0,1
moroni,2,3,14,119,8.5,41.6,76,19,4.67,0.214,2,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0
moroni,3,4,16,120,7.5,38.2,64,5,4.0,0.25,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0
moroni,4,3,18,153,8.5,43.6,65,5,6.0,0.167,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0
moroni,5,2,12,91,7.58,37.4,59,5,6.0,0.25,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,10.99,0,0,0
moroni,6,9,42,335,7.98,42.6,74,20,4.67,0.143,5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,2.99,0,0,0
moroni,7,48,220,1929,8.77,44.6,81,5,4.58,0.141,6,0,0.0,0,4,2.07,0,0.0,1,0.52,9,0.188,0,17,8.81,0,0,13
moroni,8,30,130,1063,8.18,44.4,78,5,4.33,0.162,4,0,0.0,0,2,1.88,0,0.0,0,0.0,0,0.0,1,10,9.41,0,0,0
moroni,9,25,123,1012,8.23,43.5,83,5,4.92,0.171,8,0,0.0,0,0,0.0,0,0.0,0,0.0,1,0.04,1,11,10.87,0,0,0
moroni,10,34,130,1149,8.84,44.5,77,5,3.82,0.115,3,0,0.0,0,0,0.0,0,0.0,0,0.0,1,0.029,1,4,3.48,0,0,4
